player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2023,2328,1140,-2.442458528,0.605967533,-1.836490995,1.583853982,-3.756531688,-2.172677706,-1.77117981,-0.283672608,-2.054852418,0.400487529,0.400487529,0,-1.867986323,-0.182805936,-2.050792258,-0.956064831
Steven Adams,adamsst01,2023,2391,1133,-0.539148559,4.174472679,3.63532412,4.196019485,0.186158574,4.38217806,0.416278908,3.550985038,3.967263946,3.892111052,3.892111052,0,0.025096797,3.570023674,3.595120472,0.237905356
Bam Adebayo,adebaba01,2023,6933,3448,-1.905567785,2.343397524,0.437829739,1.584151168,2.634869211,4.219020378,-1.279139764,2.528053482,1.248913718,7.035147702,5.692163679,1.342984023,-0.809323625,2.539525564,1.730201939,-0.443789065
Ochai Agbaji,agbajoc01,2023,2604,1209,-1.323937715,-2.198396043,-3.522333759,0.637793414,-0.569348821,0.068444593,-1.010695667,-1.964926572,-2.97562224,-0.139469098,-0.139469098,0,-1.14586496,-2.506387133,-3.652252093,0.216215922
Santi Aldama,aldamsa01,2023,3824,1783,-1.022698582,-0.407462066,-1.430160647,-0.169196258,-1.337526726,-1.506722984,-0.90709503,-0.675486857,-1.582581887,1.058654626,1.159520292,-0.100865666,-1.245487482,-0.165474954,-1.410962437,-0.03568974
Nickeil Alexander-Walker,alexani01,2023,2185,1032,-0.058865336,4.097519421,4.038654085,-1.212303739,2.272451262,1.060147523,-0.303830331,3.986873712,3.68304338,3.479913652,2.416557418,1.063356234,-0.087537385,3.351663189,3.264125804,0.440043454
Grayson Allen,allengr01,2023,4534,2121,-0.04459916,0.238333124,0.193733964,0.524024503,-0.510039599,0.013984904,0.071087801,0.050969702,0.122057504,3.127174324,2.880050069,0.247124255,0.269344381,-0.030372356,0.238972025,0.38179136
Jarrett Allen,allenja01,2023,4833,2411,-1.334080445,1.627077731,0.292997286,3.307167417,1.658584771,4.965752188,-0.454216976,1.668787167,1.214570191,4.856336854,4.528900772,0.327436082,-0.348734966,2.270492232,1.921757266,-0.572868185
Jose Alvarado,alvarjo01,2023,2778,1310,0.039258347,1.396093695,1.435352042,-0.677184551,3.379530873,2.702346323,-0.103565847,1.865416284,1.761850437,3.025179269,3.025179269,0,-0.424834786,1.927231591,1.502396805,0.322323361
Kyle Anderson,anderky01,2023,4359,2061,-0.073959129,1.255403301,1.181444172,1.531263361,0.419480041,1.950743402,0.271534191,1.148606958,1.420141149,4.358710264,4.395997187,-0.037286922,-0.413767087,1.304951349,0.891184263,-0.299085526
Giannis Antetokounmpo,antetgi01,2023,4574,2115,3.378602594,1.927022233,5.305624826,2.646947148,1.836528724,4.483475873,3.402392686,1.978272754,5.38066544,8.923683983,9.313686034,-0.390002051,3.450266519,1.223376885,4.673643404,1.632325649
Thanasis Antetokounmpo,antetth01,2023,460,211,-5.630552403,-3.924342695,-9.554895098,-9.563757748,-8.887884128,-18.45164188,-6.778177628,-5.231934086,-12.01011171,-0.991024849,-0.945595409,-0.04542944,-5.48958452,-5.543422252,-11.03300677,-0.688948338
Cole Anthony,anthoco01,2023,3230,1552,1.922171602,-0.598207487,1.323964114,1.709357401,0.226358135,1.935715536,2.036866773,-0.463140241,1.573726531,3.396952856,3.396952856,0,1.469401101,-0.394041452,1.075359649,-0.787305637
O.G. Anunoby,anunoog01,2023,4888,2386,-0.858129205,1.89482412,1.036694915,-0.220546212,2.806218957,2.585672745,-0.789527393,2.196114879,1.406587486,5.079681328,5.079681328,0,0.101659162,2.935879332,3.037538494,0.393220886
Ryan Arcidiacono,arcidry01,2023,375,172,-7.087969985,2.313559209,-4.774410776,-10.77874876,6.769757971,-4.008990792,-8.304900528,3.438595943,-4.866304585,-0.184735982,-0.184735982,0,-6.911505894,1.62498042,-5.286525474,-0.501644857
Deni Avdija,avdijde01,2023,4198,2020,-1.920581651,0.954963131,-0.96561852,-0.602359065,-0.180090322,-0.782449387,-1.762021409,0.791316195,-0.970705213,1.834479471,1.834479471,0,-1.536854724,1.230156139,-0.306698585,0.040244082
Deandre Ayton,aytonde01,2023,4842,2354,-2.280979115,0.0889641,-2.192015015,-2.180722871,-1.80235683,-3.9830797,-2.407626465,-0.320287089,-2.727913554,0.018173088,0.37486395,-0.356690862,-2.287942433,0.080775352,-2.207167081,-0.517873648
Udoka Azubuike,azubuud01,2023,785,359,-4.865376575,0.97941968,-3.885956895,-6.299387132,-1.953437221,-8.252824353,-5.484095822,0.467055457,-5.017040365,-0.413373229,-0.413373229,0,-5.82631715,-1.400340537,-7.226657686,-0.45259973
Marvin Bagley III,baglema01,2023,2066,990,-1.9424991,0.967490252,-0.975008848,-1.356408457,-1.741878663,-3.09828712,-1.875703859,0.522569154,-1.353134705,0.702774818,0.702774818,0,-2.05082266,-0.419688874,-2.470511534,-0.397560374
Patrick Baldwin Jr.,baldwpa01,2023,507,237,-2.488582664,-1.613876916,-4.102459579,-5.96714343,-3.024455756,-8.991599186,-3.36376862,-1.996714399,-5.360483019,-0.317113432,-0.32445679,0.007343358,-1.755022381,-2.555892464,-4.310914846,0.359868866
LaMelo Ball,ballla01,2023,2757,1268,1.819526218,-0.362158315,1.457367903,2.658502196,-3.271476263,-0.612974067,2.221353275,-0.981727699,1.239625576,2.620348369,2.620348369,0,2.710252628,-0.134798604,2.575454025,1.537870685
Mo Bamba,bambamo01,2023,1613,779,-1.430385111,-1.112776146,-2.543161258,1.546510359,1.111328702,2.657839061,-0.875635402,-0.723070125,-1.598705527,0.461674404,0.488758022,-0.027083618,-0.911930081,-1.56466666,-2.476596742,-0.39064863
Paolo Banchero,banchpa01,2023,5096,2430,-1.577063214,-0.88012302,-2.457186234,-0.515353704,-4.506574034,-5.021927738,-1.397951371,-1.690712842,-3.088664213,-0.421515811,-0.421515811,0,-1.596659607,-1.852705828,-3.449365435,0.395364317
Desmond Bane,banede01,2023,4448,2072,2.957002427,-0.3050586,2.651943827,3.63383856,1.506766586,5.140605146,3.271208299,0.012677992,3.283886291,6.412956873,6.22918821,0.183768663,2.554425899,0.220523988,2.774949888,0.653355977
Dalano Banton,bantoda01,2023,588,279,-0.930275955,-1.506331453,-2.436607408,-4.532787936,-0.768804617,-5.301592553,-1.748278141,-1.453927311,-3.202205452,-0.064330309,-0.064330309,0,-1.58909063,-0.985031264,-2.574121894,-0.061526635
Dominick Barlow,barlodo01,2023,893,408,-2.056206584,0.342999552,-1.713207032,-3.192959792,-0.377542016,-3.570501808,-2.376548158,0.327149913,-2.049398245,0.145520776,0.145520776,0,-3.742244015,-0.289663047,-4.031907062,-0.219813145
Harrison Barnes,barneha02,2023,6075,2858,0.549573534,0.638052385,1.187625918,0.68932259,-0.5610623,0.12826029,0.577518807,0.442542379,1.020061186,5.522082927,5.439890239,0.082192687,0.439538657,0.138658684,0.578197341,0.166046198
Scottie Barnes,barnesc01,2023,5507,2678,-0.414756738,0.397931863,-0.016824875,2.444975327,0.810976906,3.255952233,0.143331665,0.498606539,0.641938204,4.616106808,4.616106808,0,0.838905502,1.38722331,2.226128812,-0.399672563
RJ Barrett,barrerj01,2023,5830,2852,-0.275050511,-1.972689113,-2.247739624,-1.836502968,-4.132037268,-5.968540236,-0.65627312,-2.552780297,-3.209053417,-0.667489195,-0.651153587,-0.016335609,-0.134576109,-2.104576037,-2.239152145,0.514974224
Will Barton,bartowi01,2023,2072,993,-1.680239778,-4.069670842,-5.749910619,-4.81362947,-0.644108756,-5.457738226,-2.436231013,-3.596900912,-6.033131925,-1.656576483,-1.656576483,0,-1.922140454,-3.405601111,-5.327741565,-0.386082549
Charles Bassey,bassech01,2023,1093,508,-1.909734742,0.279038208,-1.630696534,-0.679836707,2.298228295,1.618391588,-1.70934063,0.825868465,-0.883472165,0.484488025,0.484488025,0,-2.59778259,-0.537371391,-3.13515398,0.149877631
Keita Bates-Diop,bateske01,2023,3121,1452,-1.038942414,-0.115136225,-1.154078639,-2.212311467,0.633088726,-1.579222741,-1.289113329,0.105893458,-1.183219871,1.160565148,1.160565148,0,-2.201912215,-0.889091853,-3.091004068,-0.010597561
Nicolas Batum,batumni01,2023,3802,1801,-0.956376634,0.218913226,-0.737463408,0.508448275,1.897494312,2.405942586,-0.715201399,0.578429234,-0.136772165,2.404218715,2.530491848,-0.126273133,-1.043109702,0.519762249,-0.523347453,0.243633879
Darius Bazley,bazleda01,2023,1308,616,-3.464316745,3.259677874,-0.204638871,-3.749091521,1.148625626,-2.600465895,-3.744034353,3.002865421,-0.741168932,0.63029652,0.63029652,0,-2.818986341,1.842422204,-0.976564137,-0.082245191
Bradley Beal,bealbr01,2023,3414,1673,2.350172078,-1.415671376,0.934500702,2.580052309,-0.674859059,1.905193251,2.536572124,-1.339510192,1.197061932,3.349344261,3.349344261,0,2.279223077,-1.373811066,0.905412011,-0.591032687
Malik Beasley,beaslma01,2023,4649,2184,0.367806832,-1.678406628,-1.310599796,-1.73191057,-1.420530063,-3.152440633,-0.05628455,-1.72512206,-1.781406609,1.081366418,1.255100737,-0.173734319,0.332427103,-1.720808672,-1.388381569,0.431758745
MarJon Beauchamp,beaucma01,2023,1516,706,-3.488785692,-1.588872312,-5.077658004,-3.519655763,-2.312638002,-5.832293765,-3.702568513,-1.883886286,-5.5864548,-1.027196723,-1.01243016,-0.014766564,-2.776232886,-1.767497785,-4.543730671,0.517839882
Davis Bertans,bertada01,2023,1028,492,0.243516448,-0.953225067,-0.709708619,-2.373500228,-0.394952876,-2.768453104,-0.305669374,-0.864323617,-1.169992991,0.398285828,0.398285828,0,-0.053545823,-1.801084918,-1.854630741,0.426271505
Patrick Beverley,beverpa01,2023,3786,1816,-2.75935184,0.43456353,-2.32478831,-1.504532467,-0.581630839,-2.086163305,-2.659123207,0.232681311,-2.426441896,0.319733572,0.319733572,0,-3.055193767,1.336031625,-1.719162142,-0.744652962
Saddiq Bey,beysa01,2023,4830,2262,1.382632372,-2.423271407,-1.040639035,2.36811336,-2.1464594,0.221653959,1.707711,-2.471299514,-0.763588514,2.285906089,2.530577482,-0.244671393,1.422024221,-2.526856482,-1.104832261,-0.062269526
Khem Birch,birchkh01,2023,331,162,-6.402025581,-0.814382995,-7.216408577,-2.423125154,2.656827563,0.233702409,-5.984195086,-0.147133586,-6.131328672,-0.277757588,-0.277757588,0,-6.006345636,-0.170039911,-6.176385546,-0.620227374
Goga Bitadze,bitadgo01,2023,955,457,-0.061526615,1.38329576,1.321769145,-1.112675486,4.905272998,3.792597512,-0.255537312,2.238357757,1.982820445,1.108665162,1.108665162,0,-0.73429891,0.547849122,-0.186449788,-0.017510317
Bismack Biyombo,biyombi01,2023,1973,952,-4.119741759,0.610492691,-3.509249069,-0.137814447,0.937351228,0.79953678,-3.55875656,0.67386533,-2.88489123,-0.071010858,0.223855692,-0.29486655,-3.532964588,0.296173037,-3.236791551,-0.374335053
Buddy Boeheim,boehebu01,2023,187,90,-2.401141223,-2.622044959,-5.023186182,-0.975488148,6.271938672,5.296450525,-2.220801729,-0.863222861,-3.084024589,-0.015246583,-0.015246583,0,-3.099874223,-2.029220775,-5.129094998,-0.599891828
Bogdan Bogdanovic,bogdabo01,2023,3514,1665,2.736995722,-0.273278116,2.463717606,3.929239024,-1.900926617,2.028312407,3.127454409,-0.610936599,2.51651781,4.483512042,3.415854129,1.067657912,3.514940548,-0.516568314,2.998372235,-0.44761995
